1 おどろく 驚く	(はっと)気づく (ふと)目を覚ます
2 ののしる	大騒ぎする 大声で騒ぐ 評判になる 噂になる
3 ねんず 念ず	(心の中で)祈る 我慢する
4 おぼゆ 覚ゆ	(自然に)思われる 似る 似ている 思い出される (人から)思われる
5 しのぶ 忍ぶ	<耐え忍ぶ>我慢する 恋心を包み隠す <人目を忍ぶ>人目を避ける
6 ながむ 眺む	もの思いに沈む ぼんやり見る
7 みゆ 見ゆ	<自発の意から>(自然と)見える おもわれる 姿を見せる 現れる <受け身の意から>(人から)見られる 見せる 結婚する
8 あふ	結婚する 男女が契る
9 ゐる 居る	座る 動かずにいる <他の動詞の連用形や助詞「て」について>〜ている
10 ありく 歩く	動き回る 出歩く外出する <動詞の連用形について>(空間的に)(〜して)まわる (時間的に)(〜し)続ける
11 あく 飽く	満足する <「飽かず」の形で>満ち足りない いやにならない
12 うつくし	かわいらしい 立派だ
13 かなし	<愛し>いとしい かわいい
14 いみじ	<連用形「いみじく」「いみじう」の形で>とても たいそう <好ましい場合>とてもすばらしい とてもうれしい <好ましくない場合>とても悲しい ひどい 大変だ
15 をかし	趣がある おもしろい 美しい かわいい 滑稽だ
16 よし	よい すぐれている <「よき人」の形で>身分が高く教養がある
17 あやし 奇し・怪し/賤し	<奇し・怪し>不思議だ 変だ <奇し・怪し>けしからん よくない <賤し>身分が低い 卑しい <賤し>粗末だ みすぼらしい
18 おとなし 大人し	大人らしい 大人びている 年配だ 主だっている (年配で)思慮分別がある
19 ゆかし	見たい 聞きたい 知りたい
20 おぼつかなし	ぼんやりしている はっきりしない 気がかりだ 不安だ 待ち遠しい もどかしい
21 ありがたし 有難し	めったにない <めったにないほど>立派だ すぐれている
22 めでたし	すばらしい 立派だ
23 くちをし 口惜し	残念だ 期待外れだ
24 うし 憂し	つらい いやだ
25 わびし 侘びし	つらい 困ったことだ 興ざめだ もの足りない
26 あはれなり	心底しみじみと感じられる
27 おろかなり 疎かなり	おろそかだ いい加減だ <「言ふも」「言へば」に続けて>(〜という)言葉では言い尽くせない
28 ねんごろなり 懇ろなり	熱心だ 丁寧だ 親しい 親密だ
29 つれづれなり 徒然なり	(することもなく)退屈だ 所在ない 手持ちぶさただ (一人もの思いに沈む)しんみりともの寂しい
30 いたづらなり 徒らなり	むだだ 役に立たない 手持ち無沙汰で暇だ
31 としごろ 年ごろ	長年 数年(の間)
32 かたち 形・容貌	容貌 人の姿
33 かげ 影	光 姿 形
34 ほい 本意	かねてからの願い 本来の目的 宿願
35 ものがたり 物語	話 雑談 世間話
36 ふみ 文・書	手紙 漢詩 漢籍 学問
37 ほど 程	<時間の場合>時 時分 間 <空間の場合>あたり 距離 長さ 広さ <人間の場合>身分 身の程 年齢 間柄 <広く一般に>様子 程度 ほど
38 なさけ 情け	思いやり 人情 男女間の情愛 恋情 情趣を解する心 風流心
39 ちぎり 契り	約束 前世からの因縁 宿縁 男女の仲 逢瀬
40 けしき 気色	様子 そぶり 機嫌 思い 意向
41 いと	とても たいそう 実に <下に打消をともなって>たいして(〜ない) それほど(〜ない)
42 あまた	たくさん 数多く
43 げに	なるほど 本当に
44 なほ	やはり
45 やがて	そのまま すぐに
46 やうやう	だんだん しだいに
47 え〜打消	〜できない
48 な〜そ	〜(する)な 〜(し)てくれるな
49 さらに〜打消	まったく〜ない 決して〜ない
50 いかで・いかでか	<疑問>どうして(〜か) <反語>どうして(〜か、いや、〜ない) <願望>どうにかして(〜たい・〜てほしい・〜よう)
51 にほふ 匂ふ	美しく照り映える 美しく輝く
52 うつろふ 移ろふ	色が変わる 紅葉する (葉や花が)散る (心が)移る 心変わりする
53 いぬ 往ぬ・去ぬ	行く 去る (時が)過ぎ去る
54 あそぶ 遊ぶ	管弦を楽しむ
55 めづ 愛づ	感嘆する ほめる たたえる 愛する かわいがる 好む
56 ならふ 慣らふ・馴らふ	慣れる 習慣となる 親しむ なじむ
57 かしづく	大切に養育する 大切に世話をする
58 たのむ 頼む	<四段活用>あてにする 期待する <下二段活用>あてにさせる 期待させる
59 まもる 守る	見つめる 見守る
60 きこゆ 聞こゆ	聞こえる 耳に入る 世間に知られる 評判になる 理解できる 意味がわかる
61 おこす	よこす 送ってくる
62 まうく 設く	準備する 用意する
63 いらふ 答ふ	答える 返事をする
64 わたる 渡る	行く 来る 通る <補助動詞として>(時間的に)ずっと(〜する) (空間的に)一面に(〜する) <「わたらせたまふ」の形で>いらっしゃる
65 ぐす 具す	(引き)連れる つき従える つき従う 連れ立つ 添える 備える 備わる
66 とぶらふ 弔ふ・訪ふ	訪(おとず)れる 訪ねる 見舞う 安否を尋ねる 弔問する 供養する
67 ものす 物す	いる ある 行く 来る 何かをする <「〜ものしたまふ」の形で>〜(て)いらっしゃる
68 わななく	ふるえる
69 わづらふ	思い悩む 病気になる 苦労する 難儀する <補助動詞として>〜するのに困る 〜しかねる
70 まどふ 惑ふ	心が乱れる 途方に暮れる あわてる <動詞の連用形について>ひどく(〜する)
71 かづく 被く	<四段活用>(褒美を)いただく かぶる <下二段活用>(ほうびを)与える かぶせる
72 うす 失す	消える 無くなる 亡くなる 死ぬ
73 おこなふ 行ふ	仏道の修行をする 勤行する
74 おもしろし	(景色などが)すばらしい 趣がある 興味深い
75 あらまほし	理想的だ 好ましい
76 やむごとなし	高貴だ 尊い 大切だ この上ない 並々でない
77 ゆゆし	不吉だ 恐ろしい すばらしい 立派だ はなはだしい 重大だ 大変だ
78 かしこし 畏し・怖し/賢し	<畏し・恐し>おそれ多い もったいない <賢し>すばらしい 立派だ 好都合だ <連用形「かしこく」の形で>非常に
79 うるはし	端正だ きちんとしている 立派だ 親しい
80 はかなし	頼りない あっけない むなしい ちょっとした とるに足りない
81 はかばかし	しっかりしている 頼もしい はっきりしている 際立っている
82 やさし	優雅だ 上品だ 風流だ けなげだ 殊勝だ 感心だ
83 いはけなし	幼い あどけない
84 かたはらいたし	見苦しい 苦々しい 気の毒だ 心苦しい 恥ずかしい きまりが悪い 笑止千万だ
85 こころもとなし 心もとなし	待ち遠しい じれったい 不安だ 心配だ はっきりしない ぼんやりしている
86 いとほし	かわいそうだ 気の毒だ かわいい いとしい
87 あさまし	驚きあきれるほどだ あきれるほどひどい 情けない 嘆かわしい
88 いたし	<連用形「いたく」「いたう」の形で>とても たいそう <打消をともなって>たいして〜(〜ない) それほど(〜ない) すばらしい
89 つれなし	平然としている 素知らぬふりをしている 冷淡だ 薄情だ 何の変化もない もとのままだ
90 あいなし	筋違いだ 具合が悪い つまらない おもしろくない <連用形「あいなく」の形で>むやみに わけもなく
91 あぢきなし	どうにもならない 無益だ つまらない 苦々しい
92 さがなし	性質が良くない 意地が悪い いたずらだ
93 すさまじ	興醒めだ 殺風景だ 荒涼としている
94 いふかひなし 言ふ甲斐なし	どうしようもない 言っても仕方がない 取るに足りない たわいない ひどい ふがいない
95 よしなし	関係がない いわれがない 理由がない 方法がない しかたがない つまらない かいがない
96 びんなし 便無し	都合が悪い 不都合だ 困ったことだ 感心しない
97 さうざうし	物足りない 心寂しい
98 むつかし	うっとうしい 不快だ わずらわしい 面倒だ むさくるしい 見苦しい
99 あてなり 貴なり	身分が高い 高貴だ 上品だ 優美だ
100 きよらなり 清らなり	美しい 華麗だ
101 さらなり 更なり	<「言へば」「言ふも」につづけて>(いまさら)言うまでもない もちろんだ <「言へば」「言ふも」を省略して>(いまさら)言うまでもない もちろんだ
102 あらはなり 顕なり	丸見えだ 明らかだ
103 あからさまなり	ちょっとの間だ ちょっと
104 かたくななり 頑ななり	情趣を解さない 教養がない 見苦しい みっともない
105 あだなり 徒なり	はかない むなしい 不誠実だ 浮気だ
106 すずろなり 漫ろなり	あてもない わけもない 思いがけない 無関係だ つまらない <多く連用形「すずろに」の形で>むやみに
107 むげなり 無下なり	まったくひどい 最低だ <「むげに」の形で>むやみに (下に打消をともない)まったく(〜ない)
108 おほやけ 公	朝廷 天皇
109 きは 際	身分 分際 程度
110 しるし 験・徴	<験>(神仏の)ご利益 霊験 <験>効果 効き目 <徴>前兆 兆候
111 ことわり 理	道理
112 ためし 例	例 先例 手本 語り草 話のたね
113 わざ 業	仏事 法事 <形式名詞として>こと 行い
114 おぼえ 覚え	評判 人望 <多く「御おぼえ」の形で>寵愛(を受けること)
115 ここち 心地	気持ち 感じ 病気 体調
116 うつつ 現	現実 正気
117 つとめて	早朝 翌朝
118 つごもり 晦・晦日	月末 月の下旬
119 ついで	(物事の)順序 順番 機会 折
120 たより 頼り・便り	頼れるもの よりどころ 縁故 つて 便宜 手段 機会 ついで
121 こころざし 志	<相手に寄せる心>愛情 誠意 贈り物 謝礼
122 よし 由	縁 関係 いわれ 方法 手段 由緒 風情 品 事情 旨 こと そぶり ようす
123 よろづ 万	さまざまなこと あらゆること <副詞として>すべて 万事につけて
124 て 手	筆跡 書 文字 演奏法 曲
125 ざえ 才	学問 (漢学の)学識 (音楽の)才能
126 おのづから 自ら	自然に ひとりでに 偶然に たまたま <仮定・推量の表現をともなって>万一 ひょっとすると
127 すなはち 即ち・則ち	すぐに そのまま
128 とく 疾く	早く すぐに すでに とっくに
129 いつしか	早く(〜したい・〜してほしい) 早くも
130 なべて	総じて おしなべて 普通 並
131 いとど	いっそう ますます
132 かく	このように
133 とかく	あれこれと 何やかやと
134 しか	そう そのように
135 さ	そう そのように
136 さばかり	その程度 それほど 非常に たいそう
137 さながら	そのまま もとのまま 全部 すべて
138 つゆ〜打消	少しも〜ない まったく〜ない
139 よも〜じ	まさか〜ないだろう よもや〜まい
140 なかなか	かえって むしろ
141 さすがに	そうはいってもやはり
142 かつ	一方では すぐに 次から次へと
143 など・などか	<疑問>どうして(〜か) <反語>どうして(〜か、いや、〜ない)
144 なでふ・なんでふ	<疑問>どうして(〜か) <反語>どうして(〜か、いや、〜ない)
145 ありし・ありつる	<「ありし」の形で>かつての 以前の <「ありつる」の形で>さっきの 先程の
146 れいの 例の	<用言を修飾して>いつものように <体言を修飾して>いつもの
147 おとにきく 音に聞く	噂に聞く 人づてに聞く 評判が高い 有名だ
148 いかがせむ いかがはせむ	<疑問>どうしようか <反語>どうしようもない
149 さるべき	(そうするのが)適当な ふさわしい そうなるはずの そうなる運命の 立派な それ相応の
150 いざたまへ いざ給へ	さあ(一緒に)いらっしゃい さあ、どうぞ
151 のたまふ・のたまはす 宣ふ・宣はす	<「言ふ」の尊敬語>おっしゃる
152 おほす 仰す	<「言ふ」の尊敬語>おっしゃる
153 きこしめす 聞こし召す	<「聞く」の尊敬語>お聞きになる <「食ふ」「飲む」の尊敬語>召し上がる
154 ごらんず 御覧ず	<「見る」の尊敬語>ご覧になる
155 まうす 申す	<「言ふ」の謙譲語>申し上げる <謙譲の補助動詞>(お)〜申し上げる お〜する
156 きこゆ・きこえさす 聞こゆ/聞こえさす	<「言ふ」の謙譲語>申し上げる (手紙などを)差し上げる <謙譲の補助動詞>(お)〜申し上げる お〜する
157 おはす おはします	<「あり」「をり」の尊敬語>いらっしゃる <「行く」「来」の尊敬語>いらっしゃる <尊敬の補助動詞>〜ていらっしゃる
158 おぼす・おぼしめす 思す/思し召す	<「思ふ」の尊敬語>お思いになる
159 たまふ 賜ふ・給ふ <ハ行四段>	<「与ふ」の尊敬語>御与えになる くださる <尊敬の補助動詞>お〜になる 〜なさる 〜てくださる
160 たまふ 賜ふ・給ふ <ハ行下二段>	<謙譲の補助動詞>〜ております 〜させていただく
161 たまはす 賜はす	<「与ふ」の尊敬語>お与えになる
162 たまはる 賜はる・給はる	<「受く」「もらふ」の謙譲語>いただく 頂戴する
163 うけたまはる 承る	<「受く」の謙譲語>お受けする 承諾し申し上げる <「聞く」の謙譲語>お聞きする
164 たてまつる 奉る	<「与ふ」の謙譲語>差し上げる <謙譲の補助動詞>(お)〜申し上げる お〜する <「着る」「乗る」「食ふ・飲む」の尊敬語>お召しになる お乗りになる 召し上がる
165 はべり 侍り	<「あり」「をり」の謙譲語>(高貴な方のおそばに)お仕えする 伺候する <「あり」「をり」の丁寧語>あります おります ございます <丁寧語の補助動詞>〜(ござい)ます 〜です
